Adv2,INTERACTABLES,51,6,,,,,
27,0,22,31,IA019,0,0,4,2
47,0,19,0,STAGE_GOAL,0,1,0,0
47,0,19,13,STAGE_GOAL,0,1,0,0
5,1,31,25,IA001,65,-57,0,0
8,1,13,23,IA016,-13,-55,0,0
9,1,12,7,IA014,0,-39,0,0
9,1,31,9,TOGGLE_PLAYER_LAYER__BACK,0,0,3,4
9,1,22,10,TOGGLE_PLAYER_LAYER__BACK,0,0,6,3
9,1,22,13,TOGGLE_PLAYER_LAYER__BACK,0,0,3,15
9,1,25,15,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,12
10,1,2,9,TOGGLE_PLAYER_LAYER__BACK,0,0,16,3
10,1,17,9,TOGGLE_PLAYER_LAYER__BACK,0,0,3,5
10,1,18,14,IA008,0,115,1,1
11,1,24,1,IA001,-120,-33,0,0
11,1,3,4,TOGGLE_PLAYER_LAYER__BACK,0,0,5,2
11,1,3,6,TOGGLE_PLAYER_LAYER__BACK,0,0,2,17
11,1,5,6,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,19
11,1,17,6,TOGGLE_PLAYER_LAYER__BACK,0,0,3,3
11,1,20,6,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,3
12,1,12,10,IA022,116,-42,0,0
12,1,19,28,TOGGLE_PLAYER_LAYER__BACK,0,0,5,2
12,1,19,30,TOGGLE_PLAYER_LAYER__BACK,0,0,2,18
12,1,21,30,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,19
13,1,16,29,IA013,0,-61,0,0
13,1,1,30,TOGGLE_PLAYER_LAYER__BACK,0,0,3,3
13,1,4,30,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,3
20,1,28,30,IA015,2,-62,0,0
27,1,12,16,IA045,-108,-48,0,0
27,1,27,16,IA022,-123,-48,0,0
28,1,23,30,IA020,0,0,8,4
42,1,20,29,SPECIAL_SPRING,-84,-61,0,0
47,1,19,0,STAGE_GOAL,0,1,0,0
47,1,19,15,STAGE_GOAL,0,1,0,0
14,2,18,27,IA019,0,0,3,2
19,2,16,11,IA003,-112,-75,0,0
19,2,16,15,IA003,-112,-79,0,0
19,2,16,19,IA003,-112,-83,0,0
19,2,16,23,IA003,-112,-87,0,0
26,2,30,19,IA021,0,-6,2,8
26,2,1,20,IA023,-65,-84,0,0
26,2,14,21,IA022,-78,-85,0,0
27,2,21,27,IA016,-117,-91,0,0
28,2,10,8,TOGGLE_PLAYER_LAYER__BACK,0,0,6,2
28,2,1,9,IA021,0,0,2,11
28,2,10,10,TOGGLE_PLAYER_LAYER__BACK,0,0,3,23
28,2,13,10,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,23
28,2,25,10,TOGGLE_PLAYER_LAYER__BACK,0,0,3,3
28,2,28,10,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,3
33,2,14,29,IA001,-46,-93,0,0
33,2,18,29,IA001,-50,-93,0,0
33,2,6,31,TOGGLE_PLAYER_LAYER__BACK,0,0,6,3
34,2,12,31,IA025,-76,-95,0,0
36,2,19,31,IA025,109,-95,0,0
37,2,4,20,IA024,1,-84,0,0
38,2,30,15,IA019,0,0,4,2
38,2,22,20,CHECKPOINT,5,-84,0,0
41,2,15,20,IA021,0,-10,2,12
42,2,0,8,IA045,-64,-72,0,0
47,2,19,0,STAGE_GOAL,0,1,0,0
47,2,19,15,STAGE_GOAL,0,1,0,0
14,3,7,0,CHECKPOINT,1,-96,0,0
26,3,8,16,IA013,0,-112,0,0
27,3,12,26,IA024,0,-122,0,0
27,3,25,29,IA025,-121,-125,0,0
28,3,20,20,IA027,0,-16,4,30
28,3,9,25,IA025,119,-121,0,0
28,3,18,31,IA025,110,-127,0,0
29,3,12,16,IA027,0,0,4,17
30,3,28,28,IA027,0,0,4,11
32,3,1,0,IA026,1,0,3,4
33,3,6,2,TOGGLE_PLAYER_LAYER__BACK,0,0,3,22
33,3,9,2,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,22
33,3,21,2,TOGGLE_PLAYER_LAYER__BACK,0,0,3,3
33,3,24,2,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,3
33,3,1,21,IA031,-33,0,0,0
34,3,22,11,TOGGLE_PLAYER_LAYER__BACK,0,0,6,3
34,3,22,14,TOGGLE_PLAYER_LAYER__BACK,0,0,3,24
34,3,25,14,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,23
35,3,15,11,IA014,0,-107,0,0
35,3,5,14,TOGGLE_PLAYER_LAYER__BACK,0,0,3,3
35,3,8,14,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,3
36,3,0,11,IA045,-128,-107,0,0
37,3,13,24,CHECKPOINT,3,-120,0,0
37,3,10,30,IA045,86,-126,0,0
38,3,30,25,IA028,0,-1,2,4
38,3,23,27,IA031,41,0,0,0
40,3,19,10,IA008,1,-106,0,0
40,3,16,31,IA020,0,0,14,3
41,3,20,25,IA029,0,-1,2,4
47,3,19,0,STAGE_GOAL,0,1,0,0
47,3,19,15,STAGE_GOAL,0,1,0,0
16,4,19,26,IA020,0,0,10,3
17,4,4,31,IA031,-36,0,0,0
23,4,5,31,IA031,27,0,0,0
24,4,29,4,CHECKPOINT,2,124,0,0
25,4,4,20,IA011,1,108,0,0
26,4,14,7,IA045,-78,121,0,0
27,4,23,28,IA033,-119,0,0,0
28,4,1,0,IA025,0,-128,0,0
28,4,20,16,IA027,0,-12,4,36
28,4,19,20,IA016,0,0,1,1
29,4,12,7,IA027,0,0,4,23
30,4,28,7,IA046,0,0,13,7
31,4,16,9,IA045,16,119,0,0
31,4,4,23,IA027,0,-11,4,26
