Adv2,INTERACTABLES,38,7,,,,,
21,0,1,19,IA087,95,-19,0,0
21,0,10,19,IA087,86,-19,0,0
21,0,18,19,IA087,78,-19,0,0
21,0,30,21,IA085,66,-21,0,0
21,0,3,25,IA086,0,-25,55,0
22,0,5,31,IA086,7,-31,98,0
23,0,0,15,IA085,32,-15,0,0
25,0,10,15,IA086,0,-15,75,0
25,0,17,31,IA087,-49,-31,0,0
25,0,26,31,IA087,-58,-31,0,0
26,0,18,25,SPECIAL_SPRING,-82,-25,0,0
26,0,2,31,IA087,-66,-31,0,0
20,1,30,11,IA008,0,-43,0,0
20,1,6,15,IA021,0,0,6,2
20,1,6,23,IA021,-4,0,6,2
21,1,1,23,IA087,95,-55,0,0
21,1,10,23,IA087,86,-55,0,0
21,1,30,26,IA003,0,-58,0,0
25,1,13,13,IA086,6,-45,65,0
26,1,17,25,IA035,0,0,3,4
26,1,20,25,IA034,0,0,3,4
8,2,21,10,IA055,0,1,4,2
8,2,26,27,IA055,0,0,2,4
9,2,21,22,IA061,0,0,2,6
10,2,10,20,IA004,-74,-84,0,0
10,2,25,26,IA061,1,0,2,4
11,2,25,20,CHECKPOINT,1,-84,0,0
17,2,20,6,IA003,-52,-70,0,0
17,2,20,10,IA003,-52,-74,0,0
17,2,20,14,IA003,-52,-78,0,0
18,2,14,15,IA086,7,-79,45,0
18,2,6,29,IA086,6,-93,25,0
19,2,22,1,IA010,-118,-65,0,0
19,2,0,4,IA005,-96,-68,0,0
21,2,30,22,IA086,0,-86,75,0
23,2,18,20,IA005,14,-84,0,0
24,2,2,28,IA001,-2,-92,0,0
25,2,16,29,IA016,-48,-93,0,0
27,2,9,17,IA034,0,0,3,4
27,2,12,17,IA035,0,0,3,4
1,3,22,22,IA025,-54,-118,0,0
1,3,10,27,IA025,-42,-123,0,0
2,3,4,29,IA025,-68,-125,0,0
5,3,18,1,IA027,0,0,2,11
5,3,20,10,IA046,0,0,24,27
7,3,16,8,IA013,0,-104,0,0
7,3,12,28,IA055,1,0,2,7
8,3,8,26,IA014,0,-122,0,0
10,3,16,18,IA090,0,0,12,14
10,3,20,31,IA097,1,-127,0,0
10,3,23,31,IA097,2,-127,0,0
11,3,0,13,IA100,-96,0,0,0
12,3,10,22,IA046,1,1,26,17
13,3,25,1,IA027,0,0,3,12
13,3,2,10,IA046,1,0,26,17
14,3,2,12,IA005,62,-108,0,0
15,3,20,13,TOGGLE_PLAYER_LAYER__BACK,0,0,2,12
15,3,22,15,TOGGLE_PLAYER_LAYER__BACK,0,0,2,12
15,3,24,17,TOGGLE_PLAYER_LAYER__BACK,0,0,2,12
15,3,26,19,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,12
15,3,20,25,TOGGLE_PLAYER_LAYER__BACK,0,0,2,13
15,3,22,27,TOGGLE_PLAYER_LAYER__BACK,0,0,2,12
15,3,24,29,TOGGLE_PLAYER_LAYER__BACK,0,0,2,12
15,3,26,31,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,12
16,3,31,5,TOGGLE_PLAYER_LAYER__BACK,0,0,9,12
16,3,31,17,TOGGLE_PLAYER_LAYER__BACK,0,0,9,12
16,3,28,19,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,12
16,3,31,29,TOGGLE_PLAYER_LAYER__BACK,0,0,9,12
16,3,28,31,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,12
18,3,2,25,IA008,1,-121,0,0
21,3,5,7,IA061,1,0,2,3
21,3,25,7,IA087,71,-103,0,0
22,3,2,7,IA087,62,-103,0,0
22,3,10,7,IA087,54,-103,0,0
22,3,3,12,IA021,0,0,2,8
22,3,16,25,IA021,0,-6,2,8
23,3,27,15,TOGGLE_PLAYER_LAYER__BACK,0,0,5,2
23,3,27,17,TOGGLE_PLAYER_LAYER__BACK,0,0,2,21
23,3,29,17,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,21
24,3,14,12,IA008,0,-108,0,0
24,3,11,16,TOGGLE_PLAYER_LAYER__BACK,0,0,3,3
24,3,14,16,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,3
24,3,29,21,IA022,-29,-117,0,0
27,3,16,19,IA016,-112,-115,0,0
28,3,3,25,IA021,0,0,2,7
36,3,29,29,STAGE_GOAL,0,0,0,0
1,4,27,2,IA025,-59,126,0,0
1,4,18,7,IA025,-50,121,0,0
2,4,11,3,IA025,-75,125,0,0
2,4,4,12,IA025,-68,116,0,0
6,4,22,17,IA008,0,111,0,0
7,4,2,4,IA005,30,124,0,0
9,4,5,22,IA083,-13,0,28,2
10,4,16,0,IA090,0,0,12,14
10,4,19,4,IA097,2,124,0,0
10,4,24,7,IA097,0,121,0,0
10,4,16,14,IA090,0,0,12,14
10,4,23,18,IA097,2,110,0,0
10,4,18,19,IA097,0,109,0,0
10,4,16,28,IA090,0,0,12,14
11,4,18,2,IA046,1,2,26,17
15,4,9,25,IA035,0,0,3,4
15,4,12,25,IA034,0,0,3,4
17,4,20,5,IA010,1,123,0,0
17,4,12,28,CHECKPOINT,2,100,0,0
18,4,21,2,IA055,-1,1,3,2
19,4,11,19,TOGGLE_PLAYER_LAYER__BACK,0,0,5,2
19,4,16,19,IA012,0,109,0,0
19,4,27,20,TOGGLE_PLAYER_LAYER__BACK,0,0,3,3
19,4,30,20,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,3
19,4,11,21,TOGGLE_PLAYER_LAYER__BACK,0,0,2,21
19,4,13,21,TOGGLE_PLAYER_LAYER__FRONT,0,0,3,21
20,4,11,24,IA088,117,104,0,0
22,4,22,14,IA055,-3,1,5,2
22,4,14,22,IA055,0,1,5,2
22,4,2,29,IA008,0,99,0,0
27,4,25,11,IA087,-121,117,0,0
27,4,28,13,IA021,0,-5,2,7
28,4,2,11,IA087,126,117,0,0
28,4,10,11,IA087,118,117,0,0
28,4,12,24,IA021,0,0,2,7
31,4,4,29,IA108,28,32,0,0
32,4,1,16,CHECKPOINT,3,112,0,0
36,4,29,16,STAGE_GOAL,1,0,0,0
8,5,9,0,IA025,-9,96,0,0
8,5,23,0,IA021,-2,0,4,2
8,5,4,6,IA025,-4,90,0,0
10,5,19,0,IA097,2,96,0,0
10,5,24,5,IA097,1,91,0,0
12,5,10,27,IA055,0,1,4,2
13,5,2,14,IA083,-18,0,40,2
13,5,30,20,IA005,66,76,0,0
14,5,16,7,IA088,48,89,0,0
14,5,2,20,IA001,62,76,0,0
16,5,1,17,IA034,0,0,3,4
16,5,4,17,IA035,0,0,3,4
17,5,31,3,IA055,0,1,4,2
21,5,18,12,IA055,0,0,2,6
27,5,30,8,IA031,-126,0,0,0
29,5,20,9,IA108,76,32,0,0
11,6,6,14,IA015,0,50,0,0
